epoch,train_loss,val_loss,learning_rate
1,0.2016243655180931,0.14257891833782196,9.5e-05
2,0.12593276733636857,0.1322263353729248,9.025e-05
3,0.11865663607835769,0.11503412818193436,8.573749999999999e-05
4,0.11107715723276139,0.11709541896820068,8.145062499999998e-05
5,0.10703565778374671,0.10441588582992553,7.737809374999998e-05
6,0.10436588198304177,0.10293290981531143,7.350918906249998e-05
7,0.10276790680646897,0.09578703089237213,6.983372960937497e-05
8,0.1001231947350502,0.09351022734642028,6.634204312890622e-05
9,0.10041944411814213,0.09742787252426148,6.30249409724609e-05
10,0.09898988747775554,0.09784330020427703,5.987369392383786e-05
11,0.09838262786567212,0.09411813994407654,5.688000922764596e-05
12,0.09737145020663739,0.09474139464378357,5.4036008766263664e-05
13,0.09721047656834125,0.1060348129415512,5.133420832795048e-05
14,0.09993422946691513,0.09432818468093872,4.876749791155295e-05
15,0.09661276158452034,0.09613637680530548,4.6329123015975305e-05
16,0.09453153482735158,0.09242558949232102,4.4012666865176535e-05
17,0.09591540883898735,0.09449122413396835,4.181203352191771e-05
18,0.09666726355969905,0.09849265457153321,3.972143184582182e-05
19,0.09637466265320778,0.09452479789972305,3.7735360253530726e-05
20,0.09633059645533562,0.09328558195590973,3.584859224085419e-05
