epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.0715283926534653,0.61822625,1.0339503583145142,0.6301,9.5e-05
2,0.9577429400658607,0.65995,1.0034383660888673,0.637,9.025e-05
3,0.924532455918789,0.67136625,0.9118053932952881,0.67858,8.573749999999999e-05
4,0.9055213146901131,0.67827375,0.9059749349594116,0.67836,8.145062499999998e-05
5,0.8913552793312073,0.68336625,0.8798110582923889,0.6882,7.737809374999998e-05
6,0.8801859231209755,0.68742625,0.8791280561256408,0.6883,7.350918906249998e-05
7,0.871241751074791,0.6905775,0.8794877841186524,0.68887,6.983372960937497e-05
8,0.8625783200883865,0.6934675,0.8659262092399597,0.69462,6.634204312890622e-05
9,0.8552284344601632,0.69559125,0.8642900994873047,0.69493,6.30249409724609e-05
10,0.8490929154253006,0.69841125,0.8627446490478515,0.69385,5.987369392383786e-05
11,0.8423942923879624,0.70000875,0.8609712429046631,0.69508,5.688000922764596e-05
12,0.836257037730217,0.7025725,0.865155546989441,0.69389,5.4036008766263664e-05
13,0.8309201673150063,0.70381,0.8623393771743775,0.69567,5.133420832795048e-05
14,0.8249949557471276,0.70625875,0.8615073918342591,0.69637,4.876749791155295e-05
15,0.8193432038259506,0.707995,0.8614262454605103,0.69608,4.6329123015975305e-05
16,0.8137343016862869,0.71009,0.859539921913147,0.69662,4.4012666865176535e-05
17,0.8083977622628212,0.7117975,0.8717898357009888,0.69422,4.181203352191771e-05
18,0.8027700133180619,0.71361125,0.8668817594337463,0.69558,3.972143184582182e-05
19,0.7973485275745392,0.715505,0.8691016317367554,0.69446,3.7735360253530726e-05
20,0.7919139387655258,0.71669,0.8731367326354981,0.69311,3.584859224085419e-05
