epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.1355205169153213,0.59136375,1.0011978651809692,0.6369,9.5e-05
2,0.9832474798870087,0.64860125,0.9335004253005982,0.66819,9.025e-05
3,0.9466234218835831,0.66203875,0.9212868825531005,0.67246,8.573749999999999e-05
4,0.9254045418214798,0.66983625,0.9140365394210815,0.67542,8.145062499999998e-05
5,0.9099518161940575,0.67582125,0.9195576333236695,0.67267,7.737809374999998e-05
6,0.897813487520218,0.67983125,0.8899219633483887,0.68557,7.350918906249998e-05
7,0.8871458841514588,0.68376875,0.8837651147079468,0.6878,6.983372960937497e-05
8,0.8792848846793174,0.686635,0.8690021392631531,0.69318,6.634204312890622e-05
9,0.8705883153414726,0.6897575,0.8750246587371826,0.69034,6.30249409724609e-05
10,0.8647636407542229,0.691635,0.8745517331314087,0.69169,5.987369392383786e-05
11,0.8586175156998634,0.69425875,0.8625963521957397,0.69609,5.688000922764596e-05
12,0.8528768030762672,0.6961625,0.861264217224121,0.69568,5.4036008766263664e-05
13,0.8473297820901871,0.69777,0.876837004737854,0.68984,5.133420832795048e-05
14,0.8417414040374755,0.6999575,0.8731690789413452,0.68872,4.876749791155295e-05
15,0.836983748216629,0.7016575,0.8544933355140686,0.69803,4.6329123015975305e-05
16,0.8319378536462784,0.70328875,0.8719044211959839,0.69051,4.4012666865176535e-05
17,0.8273232621979714,0.704655,0.8617965712547302,0.69473,4.181203352191771e-05
18,0.8229906096196175,0.7063575,0.860857944355011,0.69537,3.972143184582182e-05
19,0.8182081888842583,0.70757375,0.8614375115966797,0.69518,3.7735360253530726e-05
20,0.8138434308099747,0.70916875,0.8620414804649353,0.6962,3.584859224085419e-05
